Wavelegnth,MFD
849.3,9.145967424324316e-06
859.6,9.222835258565967e-06
870.1,9.302094650173499e-06
880.7,9.383047901068633e-06
891.4,9.465741335829941e-06
902.3,9.551010405202703e-06
913.4,9.63893544061139e-06
924.6,9.72879363417673e-06
936.0,9.82146029421143e-06
947.6,9.917028436173165e-06
959.3,1.0014755099881595e-05
971.2,1.0115560810264811e-05
983.3,1.0219553471794535e-05
995.5,1.0325968178671688e-05
1008.0,1.0436669252562187e-05
1020.6,1.055001131651237e-05
1033.4,1.0667005580573755e-05
1046.4,1.0787791829664444e-05
